order_id,supplier_id,supplier_name,supplier_risk,product_id,product_name,category,order_date,planned_delivery,actual_delivery,planned_lead_days,actual_lead_days,on_time_delivery,quantity_ordered,defect_quantity,defect_rate,unit_price_eur,total_value_eur,invoice_match
PO-10021,SUP-001,Schmidt Metallteile GmbH,low,VALV-001,"Ball Valve 1/2""",Valves,2024-09-29,2024-10-04,2024-10-04,5,5,True,267,2,0.0075,83.82,22379.94,True
PO-10022,SUP-003,Müller Rohre & Armaturen,low,SEAL-002,Press Fitting Seal,Seals,2023-05-03,2023-05-08,2023-05-08,5,5,True,329,12,0.0365,41.3,13587.7,True
PO-10023,SUP-007,Hoffmann Global Supply,high,SEAL-002,Press Fitting Seal,Seals,2023-05-24,2023-06-07,2023-06-11,14,18,False,375,64,0.1707,59.9,22462.5,True
PO-10024,SUP-004,Weber International Ltd.,high,VALV-001,"Ball Valve 1/2""",Valves,2023-12-12,2023-12-25,2023-12-25,13,13,True,197,6,0.0305,55.73,10978.81,True
PO-10025,SUP-008,Schneider Dichtungen GmbH,medium,SEAL-001,EPDM O-Ring Pack,Seals,2023-12-04,2023-12-12,2023-12-12,8,8,True,490,45,0.0918,11.86,5811.4,True
PO-10026,SUP-003,Müller Rohre & Armaturen,low,SEAL-001,EPDM O-Ring Pack,Seals,2023-05-24,2023-05-30,2023-05-30,6,6,True,109,4,0.0367,24.02,2618.18,True
PO-10027,SUP-005,Krause Logistik KG,medium,FIXT-001,Push-Fit Connector,Fittings,2023-06-09,2023-06-17,2023-06-19,8,10,False,148,12,0.0811,60.28,8921.44,True
PO-10028,SUP-006,Bauer Präzisionsteile,low,SEAL-002,Press Fitting Seal,Seals,2024-11-03,2024-11-08,2024-11-08,5,5,True,469,11,0.0235,76.63,35939.47,False
PO-10029,SUP-006,Bauer Präzisionsteile,low,PIPE-001,Copper Pipe 15mm,Pipes,2023-04-09,2023-04-12,2023-04-19,3,10,False,387,6,0.0155,42.56,16470.72,True
PO-10030,SUP-004,Weber International Ltd.,high,PIPE-001,Copper Pipe 15mm,Pipes,2024-08-02,2024-08-13,2024-08-13,11,11,True,353,45,0.1275,64.09,22623.77,True
PO-10031,SUP-001,Schmidt Metallteile GmbH,low,SEAL-002,Press Fitting Seal,Seals,2023-02-02,2023-02-08,2023-02-08,6,6,True,424,10,0.0236,23.16,9819.84,True
PO-10032,SUP-003,Müller Rohre & Armaturen,low,FIXT-002,Elbow 90deg 15mm,Fittings,2023-10-10,2023-10-17,2023-10-17,7,7,True,335,8,0.0239,55.72,18666.2,True
PO-10033,SUP-004,Weber International Ltd.,high,FIXT-001,Push-Fit Connector,Fittings,2024-10-20,2024-11-02,2024-11-02,13,13,True,66,6,0.0909,84.55,5580.3,True
PO-10034,SUP-006,Bauer Präzisionsteile,low,VALV-001,"Ball Valve 1/2""",Valves,2023-02-06,2023-02-09,2023-02-09,3,3,True,230,9,0.0391,49.71,11433.3,True
PO-10035,SUP-005,Krause Logistik KG,medium,FIXT-001,Push-Fit Connector,Fittings,2023-06-10,2023-06-18,2023-06-20,8,10,False,272,25,0.0919,72.15,19624.8,True
PO-10036,SUP-002,Fischer Kunststoff AG,medium,SEAL-002,Press Fitting Seal,Seals,2024-10-24,2024-11-01,2024-11-01,8,8,True,435,36,0.0828,29.11,12662.85,True
PO-10037,SUP-006,Bauer Präzisionsteile,low,SEAL-002,Press Fitting Seal,Seals,2023-02-08,2023-02-11,2023-02-11,3,3,True,75,2,0.0267,69.33,5199.75,True
PO-10038,SUP-002,Fischer Kunststoff AG,medium,SEAL-001,EPDM O-Ring Pack,Seals,2023-02-05,2023-02-12,2023-02-19,7,14,False,449,39,0.0869,6.69,3003.81,False
PO-10039,SUP-002,Fischer Kunststoff AG,medium,PIPE-002,Steel Pipe 22mm,Pipes,2024-12-27,2025-01-05,2025-01-07,9,11,False,235,6,0.0255,47.27,11108.45,True
PO-10040,SUP-006,Bauer Präzisionsteile,low,PIPE-001,Copper Pipe 15mm,Pipes,2024-11-22,2024-11-26,2024-11-26,4,4,True,103,1,0.0097,46.81,4821.43,True
PO-10041,SUP-004,Weber International Ltd.,high,VALV-002,Pressure Relief Valve,Valves,2024-09-11,2024-09-22,2024-09-22,11,11,True,311,33,0.1061,6.76,2102.36,True
PO-10042,SUP-007,Hoffmann Global Supply,high,SEAL-002,Press Fitting Seal,Seals,2024-10-17,2024-10-31,2024-10-31,14,14,True,155,24,0.1548,29.14,4516.7,True
PO-10043,SUP-004,Weber International Ltd.,high,PIPE-002,Steel Pipe 22mm,Pipes,2023-12-12,2023-12-23,2023-12-30,11,18,False,328,45,0.1372,37.84,12411.52,False
PO-10044,SUP-002,Fischer Kunststoff AG,medium,PIPE-001,Copper Pipe 15mm,Pipes,2023-04-06,2023-04-14,2023-04-16,8,10,False,286,27,0.0944,25.59,7318.74,True
PO-10045,SUP-007,Hoffmann Global Supply,high,FIXT-001,Push-Fit Connector,Fittings,2023-09-04,2023-09-20,2023-09-24,16,20,False,135,3,0.0222,3.69,498.15,False
PO-10046,SUP-001,Schmidt Metallteile GmbH,low,FIXT-002,Elbow 90deg 15mm,Fittings,2024-03-28,2024-04-02,2024-04-02,5,5,True,390,2,0.0051,41.56,16208.4,True
PO-10047,SUP-007,Hoffmann Global Supply,high,PIPE-002,Steel Pipe 22mm,Pipes,2024-06-05,2024-06-20,2024-06-20,15,15,True,339,1,0.0029,24.02,8142.78,True
PO-10048,SUP-008,Schneider Dichtungen GmbH,medium,PIPE-001,Copper Pipe 15mm,Pipes,2023-11-21,2023-11-29,2023-12-02,8,11,False,433,34,0.0785,55.0,23815.0,True
PO-10049,SUP-003,Müller Rohre & Armaturen,low,VALV-002,Pressure Relief Valve,Valves,2024-06-28,2024-07-03,2024-07-03,5,5,True,476,7,0.0147,80.17,38160.92,True
PO-10050,SUP-002,Fischer Kunststoff AG,medium,VALV-001,"Ball Valve 1/2""",Valves,2024-07-09,2024-07-16,2024-07-23,7,14,False,435,26,0.0598,5.71,2483.85,True
PO-10051,SUP-002,Fischer Kunststoff AG,medium,SEAL-002,Press Fitting Seal,Seals,2024-08-27,2024-09-04,2024-09-04,8,8,True,467,23,0.0493,24.01,11212.67,True
PO-10052,SUP-002,Fischer Kunststoff AG,medium,FIXT-001,Push-Fit Connector,Fittings,2023-03-16,2023-03-23,2023-03-25,7,9,False,326,17,0.0521,82.33,26839.58,True
PO-10053,SUP-008,Schneider Dichtungen GmbH,medium,SEAL-002,Press Fitting Seal,Seals,2024-11-19,2024-11-29,2024-11-29,10,10,True,145,13,0.0897,30.62,4439.9,True
PO-10054,SUP-001,Schmidt Metallteile GmbH,low,SEAL-001,EPDM O-Ring Pack,Seals,2024-06-08,2024-06-14,2024-06-14,6,6,True,410,8,0.0195,33.66,13800.6,True
PO-10055,SUP-001,Schmidt Metallteile GmbH,low,FIXT-002,Elbow 90deg 15mm,Fittings,2024-02-01,2024-02-07,2024-02-07,6,6,True,149,5,0.0336,3.39,505.11,True
PO-10056,SUP-007,Hoffmann Global Supply,high,VALV-002,Pressure Relief Valve,Valves,2024-12-18,2025-01-03,2025-01-03,16,16,True,388,6,0.0155,43.17,16749.96,True
PO-10057,SUP-004,Weber International Ltd.,high,PIPE-001,Copper Pipe 15mm,Pipes,2024-04-13,2024-04-24,2024-04-24,11,11,True,106,19,0.1792,11.86,1257.16,True
PO-10058,SUP-006,Bauer Präzisionsteile,low,SEAL-001,EPDM O-Ring Pack,Seals,2024-09-25,2024-09-28,2024-09-28,3,3,True,270,1,0.0037,31.45,8491.5,True
PO-10059,SUP-002,Fischer Kunststoff AG,medium,PIPE-002,Steel Pipe 22mm,Pipes,2024-05-06,2024-05-13,2024-05-20,7,14,False,190,7,0.0368,20.86,3963.4,True
PO-10060,SUP-002,Fischer Kunststoff AG,medium,FIXT-001,Push-Fit Connector,Fittings,2023-01-29,2023-02-05,2023-02-05,7,7,True,185,6,0.0324,33.38,6175.3,True
PO-10061,SUP-007,Hoffmann Global Supply,high,SEAL-001,EPDM O-Ring Pack,Seals,2023-08-05,2023-08-19,2023-08-19,14,14,True,119,11,0.0924,60.92,7249.48,True
PO-10062,SUP-007,Hoffmann Global Supply,high,VALV-001,"Ball Valve 1/2""",Valves,2024-12-14,2024-12-29,2025-01-05,15,22,False,222,20,0.0901,3.44,763.68,False
PO-10063,SUP-004,Weber International Ltd.,high,SEAL-002,Press Fitting Seal,Seals,2023-12-27,2024-01-09,2024-01-09,13,13,True,397,29,0.073,81.88,32506.36,True
PO-10064,SUP-008,Schneider Dichtungen GmbH,medium,PIPE-001,Copper Pipe 15mm,Pipes,2023-04-27,2023-05-06,2023-05-06,9,9,True,222,0,0.0,82.52,18319.44,True
PO-10065,SUP-006,Bauer Präzisionsteile,low,FIXT-001,Push-Fit Connector,Fittings,2023-07-22,2023-07-25,2023-07-25,3,3,True,196,4,0.0204,82.47,16164.12,True
PO-10066,SUP-006,Bauer Präzisionsteile,low,SEAL-001,EPDM O-Ring Pack,Seals,2024-02-19,2024-02-22,2024-02-22,3,3,True,423,12,0.0284,34.2,14466.6,True
PO-10067,SUP-002,Fischer Kunststoff AG,medium,SEAL-002,Press Fitting Seal,Seals,2023-12-24,2023-12-31,2023-12-31,7,7,True,397,15,0.0378,55.86,22176.42,True
PO-10068,SUP-004,Weber International Ltd.,high,VALV-002,Pressure Relief Valve,Valves,2023-02-10,2023-02-23,2023-02-23,13,13,True,194,15,0.0773,25.58,4962.52,True
PO-10069,SUP-008,Schneider Dichtungen GmbH,medium,FIXT-001,Push-Fit Connector,Fittings,2024-07-11,2024-07-21,2024-07-21,10,10,True,131,7,0.0534,36.87,4829.97,True
PO-10070,SUP-002,Fischer Kunststoff AG,medium,SEAL-002,Press Fitting Seal,Seals,2023-08-30,2023-09-08,2023-09-10,9,11,False,423,41,0.0969,69.37,29343.51,True
PO-10071,SUP-005,Krause Logistik KG,medium,PIPE-002,Steel Pipe 22mm,Pipes,2023-03-04,2023-03-10,2023-03-10,6,6,True,332,2,0.006,49.45,16417.4,False
PO-10072,SUP-007,Hoffmann Global Supply,high,PIPE-001,Copper Pipe 15mm,Pipes,2024-02-09,2024-02-25,2024-02-25,16,16,True,246,49,0.1992,84.98,20905.08,True
PO-10073,SUP-005,Krause Logistik KG,medium,FIXT-001,Push-Fit Connector,Fittings,2024-11-07,2024-11-14,2024-11-14,7,7,True,194,3,0.0155,22.39,4343.66,True
PO-10074,SUP-005,Krause Logistik KG,medium,FIXT-001,Push-Fit Connector,Fittings,2024-03-21,2024-03-27,2024-03-27,6,6,True,337,9,0.0267,6.37,2146.69,False
PO-10075,SUP-002,Fischer Kunststoff AG,medium,PIPE-002,Steel Pipe 22mm,Pipes,2024-03-13,2024-03-21,2024-03-21,8,8,True,355,19,0.0535,72.8,25844.0,True
PO-10076,SUP-006,Bauer Präzisionsteile,low,VALV-001,"Ball Valve 1/2""",Valves,2024-02-05,2024-02-10,2024-02-16,5,11,False,390,12,0.0308,55.25,21547.5,True
PO-10077,SUP-008,Schneider Dichtungen GmbH,medium,VALV-002,Pressure Relief Valve,Valves,2023-11-02,2023-11-11,2023-11-11,9,9,True,384,34,0.0885,38.59,14818.56,True
PO-10078,SUP-006,Bauer Präzisionsteile,low,PIPE-001,Copper Pipe 15mm,Pipes,2023-12-01,2023-12-05,2023-12-05,4,4,True,100,3,0.03,60.06,6006.0,True
PO-10079,SUP-001,Schmidt Metallteile GmbH,low,PIPE-002,Steel Pipe 22mm,Pipes,2024-05-22,2024-05-26,2024-05-26,4,4,True,102,0,0.0,31.16,3178.32,True
PO-10080,SUP-003,Müller Rohre & Armaturen,low,VALV-001,"Ball Valve 1/2""",Valves,2023-04-21,2023-04-26,2023-04-26,5,5,True,385,2,0.0052,15.03,5786.55,True
PO-10081,SUP-008,Schneider Dichtungen GmbH,medium,VALV-002,Pressure Relief Valve,Valves,2024-11-26,2024-12-04,2024-12-04,8,8,True,244,23,0.0943,45.01,10982.44,True
PO-10082,SUP-003,Müller Rohre & Armaturen,low,VALV-001,"Ball Valve 1/2""",Valves,2023-01-05,2023-01-11,2023-01-11,6,6,True,366,8,0.0219,5.12,1873.92,True
PO-10083,SUP-004,Weber International Ltd.,high,PIPE-002,Steel Pipe 22mm,Pipes,2023-02-15,2023-02-27,2023-03-02,12,15,False,350,6,0.0171,29.03,10160.5,True
PO-10084,SUP-006,Bauer Präzisionsteile,low,SEAL-001,EPDM O-Ring Pack,Seals,2023-02-25,2023-03-01,2023-03-01,4,4,True,97,1,0.0103,7.54,731.38,True
PO-10085,SUP-001,Schmidt Metallteile GmbH,low,VALV-001,"Ball Valve 1/2""",Valves,2023-09-10,2023-09-16,2023-09-16,6,6,True,105,2,0.019,42.47,4459.35,True
PO-10086,SUP-008,Schneider Dichtungen GmbH,medium,PIPE-002,Steel Pipe 22mm,Pipes,2023-12-31,2024-01-09,2024-01-13,9,13,False,56,4,0.0714,59.19,3314.64,True
PO-10087,SUP-004,Weber International Ltd.,high,FIXT-001,Push-Fit Connector,Fittings,2023-10-01,2023-10-13,2023-10-17,12,16,False,64,9,0.1406,11.15,713.6,True
PO-10088,SUP-007,Hoffmann Global Supply,high,PIPE-001,Copper Pipe 15mm,Pipes,2023-09-30,2023-10-16,2023-10-23,16,23,False,349,23,0.0659,21.74,7587.26,True
PO-10089,SUP-002,Fischer Kunststoff AG,medium,VALV-001,"Ball Valve 1/2""",Valves,2023-08-21,2023-08-28,2023-08-28,7,7,True,277,16,0.0578,46.81,12966.37,True
PO-10090,SUP-001,Schmidt Metallteile GmbH,low,VALV-002,Pressure Relief Valve,Valves,2024-08-17,2024-08-22,2024-08-22,5,5,True,55,1,0.0182,76.72,4219.6,True
PO-10091,SUP-003,Müller Rohre & Armaturen,low,FIXT-001,Push-Fit Connector,Fittings,2024-01-12,2024-01-17,2024-01-23,5,11,False,247,4,0.0162,32.64,8062.08,True
PO-10092,SUP-006,Bauer Präzisionsteile,low,FIXT-002,Elbow 90deg 15mm,Fittings,2023-12-16,2023-12-21,2023-12-23,5,7,False,296,0,0.0,6.76,2000.96,True
PO-10093,SUP-008,Schneider Dichtungen GmbH,medium,SEAL-001,EPDM O-Ring Pack,Seals,2023-01-06,2023-01-15,2023-01-15,9,9,True,124,10,0.0806,73.9,9163.6,True
PO-10094,SUP-008,Schneider Dichtungen GmbH,medium,FIXT-002,Elbow 90deg 15mm,Fittings,2024-07-27,2024-08-04,2024-08-04,8,8,True,252,7,0.0278,49.66,12514.32,True
PO-10095,SUP-006,Bauer Präzisionsteile,low,PIPE-002,Steel Pipe 22mm,Pipes,2023-04-28,2023-05-03,2023-05-03,5,5,True,69,0,0.0,22.5,1552.5,True
PO-10096,SUP-008,Schneider Dichtungen GmbH,medium,FIXT-002,Elbow 90deg 15mm,Fittings,2023-05-19,2023-05-29,2023-05-29,10,10,True,308,10,0.0325,6.78,2088.24,True
PO-10097,SUP-007,Hoffmann Global Supply,high,PIPE-002,Steel Pipe 22mm,Pipes,2023-06-21,2023-07-06,2023-07-09,15,18,False,133,18,0.1353,23.51,3126.83,True
PO-10098,SUP-003,Müller Rohre & Armaturen,low,SEAL-001,EPDM O-Ring Pack,Seals,2024-07-03,2024-07-10,2024-07-10,7,7,True,144,4,0.0278,79.19,11403.36,True
PO-10099,SUP-006,Bauer Präzisionsteile,low,FIXT-001,Push-Fit Connector,Fittings,2024-01-11,2024-01-16,2024-01-16,5,5,True,125,4,0.032,33.79,4223.75,True
PO-10100,SUP-004,Weber International Ltd.,high,SEAL-002,Press Fitting Seal,Seals,2023-12-15,2023-12-28,2023-12-28,13,13,True,319,52,0.163,68.46,21838.74,True
PO-10101,SUP-003,Müller Rohre & Armaturen,low,VALV-001,"Ball Valve 1/2""",Valves,2023-03-19,2023-03-25,2023-03-25,6,6,True,138,2,0.0145,74.87,10332.06,True
PO-10102,SUP-007,Hoffmann Global Supply,high,SEAL-002,Press Fitting Seal,Seals,2024-06-09,2024-06-25,2024-06-25,16,16,True,402,40,0.0995,64.18,25800.36,True
PO-10103,SUP-001,Schmidt Metallteile GmbH,low,SEAL-001,EPDM O-Ring Pack,Seals,2024-05-17,2024-05-22,2024-05-22,5,5,True,153,3,0.0196,21.39,3272.67,True
PO-10104,SUP-003,Müller Rohre & Armaturen,low,SEAL-001,EPDM O-Ring Pack,Seals,2023-06-28,2023-07-04,2023-07-04,6,6,True,64,1,0.0156,74.99,4799.36,True
PO-10105,SUP-003,Müller Rohre & Armaturen,low,VALV-002,Pressure Relief Valve,Valves,2023-06-06,2023-06-12,2023-06-12,6,6,True,460,0,0.0,63.88,29384.8,True
PO-10106,SUP-002,Fischer Kunststoff AG,medium,FIXT-001,Push-Fit Connector,Fittings,2024-09-26,2024-10-04,2024-10-04,8,8,True,343,12,0.035,46.76,16038.68,True
PO-10107,SUP-004,Weber International Ltd.,high,SEAL-002,Press Fitting Seal,Seals,2023-01-15,2023-01-26,2023-01-26,11,11,True,206,29,0.1408,21.41,4410.46,True
PO-10108,SUP-007,Hoffmann Global Supply,high,VALV-001,"Ball Valve 1/2""",Valves,2023-10-19,2023-11-03,2023-11-09,15,21,False,197,35,0.1777,17.48,3443.56,True
PO-10109,SUP-008,Schneider Dichtungen GmbH,medium,SEAL-001,EPDM O-Ring Pack,Seals,2023-12-12,2023-12-21,2023-12-21,9,9,True,267,13,0.0487,50.86,13579.62,True
PO-10110,SUP-007,Hoffmann Global Supply,high,SEAL-002,Press Fitting Seal,Seals,2024-11-13,2024-11-27,2024-11-27,14,14,True,377,58,0.1538,56.24,21202.48,True
PO-10111,SUP-001,Schmidt Metallteile GmbH,low,FIXT-002,Elbow 90deg 15mm,Fittings,2023-02-20,2023-02-24,2023-02-24,4,4,True,346,6,0.0173,78.86,27285.56,True
PO-10112,SUP-005,Krause Logistik KG,medium,PIPE-002,Steel Pipe 22mm,Pipes,2024-09-13,2024-09-20,2024-09-20,7,7,True,50,2,0.04,74.27,3713.5,True
PO-10113,SUP-005,Krause Logistik KG,medium,SEAL-001,EPDM O-Ring Pack,Seals,2023-11-05,2023-11-11,2023-11-11,6,6,True,362,12,0.0331,2.88,1042.56,True
PO-10114,SUP-001,Schmidt Metallteile GmbH,low,PIPE-002,Steel Pipe 22mm,Pipes,2023-03-16,2023-03-21,2023-03-21,5,5,True,259,9,0.0347,42.17,10922.03,True
PO-10115,SUP-003,Müller Rohre & Armaturen,low,VALV-002,Pressure Relief Valve,Valves,2023-06-28,2023-07-04,2023-07-04,6,6,True,229,8,0.0349,37.06,8486.74,True
PO-10116,SUP-007,Hoffmann Global Supply,high,VALV-001,"Ball Valve 1/2""",Valves,2024-10-23,2024-11-07,2024-11-13,15,21,False,98,18,0.1837,17.19,1684.62,True
PO-10117,SUP-006,Bauer Präzisionsteile,low,FIXT-002,Elbow 90deg 15mm,Fittings,2024-04-20,2024-04-25,2024-04-25,5,5,True,98,1,0.0102,27.22,2667.56,True
PO-10118,SUP-003,Müller Rohre & Armaturen,low,VALV-001,"Ball Valve 1/2""",Valves,2024-12-23,2024-12-29,2024-12-29,6,6,True,334,5,0.015,54.06,18056.04,True
PO-10119,SUP-003,Müller Rohre & Armaturen,low,PIPE-002,Steel Pipe 22mm,Pipes,2024-08-12,2024-08-19,2024-08-19,7,7,True,243,4,0.0165,46.59,11321.37,True
PO-10120,SUP-003,Müller Rohre & Armaturen,low,SEAL-001,EPDM O-Ring Pack,Seals,2024-10-05,2024-10-10,2024-10-10,5,5,True,104,1,0.0096,80.55,8377.2,True
PO-10121,SUP-006,Bauer Präzisionsteile,low,PIPE-002,Steel Pipe 22mm,Pipes,2024-01-15,2024-01-18,2024-01-23,3,8,False,337,8,0.0237,61.57,20749.09,False
PO-10122,SUP-007,Hoffmann Global Supply,high,VALV-001,"Ball Valve 1/2""",Valves,2024-03-18,2024-04-03,2024-04-10,16,23,False,298,10,0.0336,68.49,20410.02,True
PO-10123,SUP-007,Hoffmann Global Supply,high,SEAL-002,Press Fitting Seal,Seals,2024-02-22,2024-03-09,2024-03-16,16,23,False,337,55,0.1632,73.09,24631.33,True
PO-10124,SUP-005,Krause Logistik KG,medium,FIXT-002,Elbow 90deg 15mm,Fittings,2024-04-13,2024-04-20,2024-04-20,7,7,True,481,30,0.0624,9.67,4651.27,True
PO-10125,SUP-005,Krause Logistik KG,medium,VALV-001,"Ball Valve 1/2""",Valves,2024-09-15,2024-09-21,2024-09-21,6,6,True,334,29,0.0868,37.27,12448.18,True
PO-10126,SUP-004,Weber International Ltd.,high,VALV-001,"Ball Valve 1/2""",Valves,2024-01-21,2024-02-03,2024-02-03,13,13,True,445,30,0.0674,71.03,31608.35,True
PO-10127,SUP-001,Schmidt Metallteile GmbH,low,PIPE-002,Steel Pipe 22mm,Pipes,2023-02-22,2023-02-28,2023-02-28,6,6,True,391,1,0.0026,66.83,26130.53,True
PO-10128,SUP-003,Müller Rohre & Armaturen,low,FIXT-002,Elbow 90deg 15mm,Fittings,2024-12-27,2025-01-01,2025-01-01,5,5,True,258,5,0.0194,24.67,6364.86,True
PO-10129,SUP-007,Hoffmann Global Supply,high,PIPE-001,Copper Pipe 15mm,Pipes,2023-10-05,2023-10-21,2023-10-21,16,16,True,203,6,0.0296,45.87,9311.61,True
PO-10130,SUP-003,Müller Rohre & Armaturen,low,FIXT-002,Elbow 90deg 15mm,Fittings,2023-05-26,2023-05-31,2023-05-31,5,5,True,90,1,0.0111,25.11,2259.9,True
PO-10131,SUP-002,Fischer Kunststoff AG,medium,VALV-002,Pressure Relief Valve,Valves,2024-08-21,2024-08-28,2024-09-03,7,13,False,76,6,0.0789,76.75,5833.0,True
PO-10132,SUP-004,Weber International Ltd.,high,FIXT-001,Push-Fit Connector,Fittings,2024-03-30,2024-04-11,2024-04-11,12,12,True,459,70,0.1525,35.86,16459.74,True
PO-10133,SUP-002,Fischer Kunststoff AG,medium,VALV-002,Pressure Relief Valve,Valves,2023-12-29,2024-01-05,2024-01-10,7,12,False,420,16,0.0381,22.74,9550.8,True
PO-10134,SUP-008,Schneider Dichtungen GmbH,medium,VALV-002,Pressure Relief Valve,Valves,2023-04-23,2023-05-03,2023-05-03,10,10,True,276,10,0.0362,80.82,22306.32,True
PO-10135,SUP-006,Bauer Präzisionsteile,low,FIXT-001,Push-Fit Connector,Fittings,2023-11-08,2023-11-11,2023-11-11,3,3,True,288,6,0.0208,24.14,6952.32,False
PO-10136,SUP-006,Bauer Präzisionsteile,low,VALV-001,"Ball Valve 1/2""",Valves,2023-12-31,2024-01-05,2024-01-05,5,5,True,203,2,0.0099,41.62,8448.86,True
PO-10137,SUP-001,Schmidt Metallteile GmbH,low,PIPE-001,Copper Pipe 15mm,Pipes,2023-03-02,2023-03-08,2023-03-08,6,6,True,74,2,0.027,22.83,1689.42,True
PO-10138,SUP-004,Weber International Ltd.,high,VALV-001,"Ball Valve 1/2""",Valves,2024-04-22,2024-05-04,2024-05-04,12,12,True,324,52,0.1605,28.45,9217.8,True
PO-10139,SUP-001,Schmidt Metallteile GmbH,low,PIPE-002,Steel Pipe 22mm,Pipes,2024-07-22,2024-07-28,2024-07-28,6,6,True,61,2,0.0328,47.21,2879.81,True
PO-10140,SUP-005,Krause Logistik KG,medium,PIPE-001,Copper Pipe 15mm,Pipes,2024-12-27,2025-01-02,2025-01-02,6,6,True,247,22,0.0891,83.4,20599.8,True
